11	0	0	0	0	0	3	3	2	6	3	1	5	3	0	2	4	2	2	5	1	3	0	-1	1	0	0	0	1	0	2	1	0	0	1	1	2	0	0	2	1	0	0	1	0	4	1	0	0	-1	0	0	0	-1	2	-1	-1	1	-1	0	0	1	0	3	2	1	3	3	0	2	2	2	4	4	1	4	2	2	4	3	2	5	3	2	7	3	1	5	4	2	7	0	0	0	-1	-1	-2	-1	-1	0	-1	-1	-1	2	0	2	-1	0	0	1	0	0	2	1	2	-2	0	-2	-1	0	-2	-3	-3	-5	-2	-1	-1	-1	0	-2	0	0	0	-2	0	-2	-1	0	1	1	0	2	1	2	0	2	0	1	0	0	0	0	-1	0	0	-1	-2	2	1	1	0	0	0	-3	-1	0	-1	1	1	0	0	1	0	0	1	-1	-2	-2	0	0	2	0	0	-1	-1	0	0	0	0	2	1	0	3	-2	-1	-4	1	0	1	1	0	0	0	0	2	4	2	3	1	1	4	1	0	2	0	1	1	0	0	1	1	0	0	1	0	3	0	0	1	2	1	2	0	0	1	2	0	2	-3	0	1	-4	-1	-4	-1	0	-4	-3	0	-3	-3	-1	-4	-2	-1	0	0	0	1	1	1	2	0	0	1	3	1	2	4	1	6	2	1	1	0	0	0	0	0	2	2	2	5	1	1	3	0	0	0	0	0	3	-3	0	-2	0	1	0	1	0	0	-1	0	-1	0	0	-1	4	0	4	0	0	0	1	2	3	0	0	1	0	1	3	3	0	2	0	1	4	0	0	0	0	0	2	1	0	5	0	0	0	1	1	4	0	1	0	1	1	0	1	0	0	0	0	0	-3	0	0	-1	0	0
12	-1	0	0	0	0	2	2	2	3	1	1	2	2	1	1	4	2	5	3	0	2	1	2	5	2	1	3	1	1	0	2	1	4	3	0	2	1	0	0	0	0	2	0	0	1	3	2	3	-1	0	0	0	1	2	0	0	0	0	0	0	0	0	3	1	0	3	0	1	2	5	2	5	2	0	3	0	1	5	2	2	5	0	0	2	0	0	1	2	1	4	3	3	5	1	0	2	6	2	7	5	1	5	6	4	10	6	2	6	5	2	4	4	3	7	6	2	2	5	1	3	3	0	4	1	0	2	3	4	6	2	0	3	1	1	5	4	1	3	1	0	3	4	0	2	3	2	4	2	1	4	2	0	3	0	0	1	1	0	-2	1	1	0	0	0	0	0	1	0	3	2	6	4	1	3	0	0	1	-1	0	0	3	2	6	5	2	6	3	1	4	2	1	3	2	1	1	1	2	4	4	1	6	2	1	3	3	2	0	4	1	4	4	2	5	4	2	6	3	1	2	5	1	7	3	2	3	1	0	2	1	0	2	0	1	0	2	1	4	1	0	6	3	1	3	6	3	7	4	2	5	5	0	5	1	1	1	1	0	1	1	0	1	-1	0	2	0	0	1	1	2	0	0	0	1	2	2	4	1	1	3	0	0	-1	0	2	4	0	0	0	0	1	1	1	1	1	2	0	5	0	0	0	1	-1	2	5	1	6	1	1	4	0	1	3	1	0	-1	-1	0	0	0	0	0	1	0	0	0	-1	-2	-1	-1	-2	0	0	1	0	0	1	1	1	2	1	1	3	2	3	5	3	1	5	1	0	3	1	1	1	0	0	0	0	0	0
13	3	3	3	4	3	2	3	3	2	0	0	0	1	0	-1	0	0	-4	0	1	0	1	2	2	0	2	0	0	2	-1	0	1	1	0	2	0	5	3	4	2	2	3	3	4	5	3	4	7	3	3	3	4	3	4	0	1	0	0	2	1	0	2	3	4	2	6	6	5	7	4	3	6	2	3	1	3	3	2	3	2	3	3	3	3	2	2	3	1	3	3	1	3	3	-1	1	0	1	3	-2	0	2	0	1	1	1	-1	0	-2	0	1	0	2	1	-1	0	0	0	0	2	0	-1	0	-1	0	2	0	2	1	-1	3	3	1	2	2	2	1	2	3	2	2	5	1	1	0	-2	0	-2	-1	0	1	4	2	3	3	3	2	4	5	6	3	3	3	3	2	4	0	2	0	0	1	-2	-2	1	0	1	2	4	1	0	-1	0	1	-2	0	2	0	5	2	3	0	2	0	2	2	3	1	1	4	1	3	1	1	0	-2	6	2	5	5	3	4	3	2	1	2	4	4	2	4	4	3	2	2	1	1	3	2	2	1	0	1	-1	-1	1	-2	0	1	0	-1	2	0	-2	0	0	0	0	0	0	1	0	3	2	0	1	2	0	2	1	0	1	1	0	0	1	-1	2	4	2	1	3	2	1	2	4	5	3	5	5	5	7	4	3	2	1	1	0	1	2	0	1	1	0	2	1	3	0	1	2	0	2	2	0	1	1	0	1	0	-1	0	-1	1	2	2	0	2	0	4	3	3	0	2	0	3	1	3	0	0	0	-1	0	0	0	2	1	-1	1	-1	1	0	-2	1	1	-1	0	1	-3	0	1	-4	-2	1	-1	-2	0	-2	0	2	-1	2	2	2
14	4	2	4	3	3	2	2	2	0	2	2	6	1	3	2	1	0	2	2	2	2	0	2	3	1	3	2	1	2	5	5	2	8	3	2	4	1	1	0	3	2	3	1	1	2	3	2	2	2	3	5	0	1	3	0	3	0	3	2	2	3	2	3	4	2	6	4	1	4	4	2	4	0	0	1	4	2	4	3	2	3	2	1	0	2	2	4	4	3	6	6	4	6	0	2	2	3	2	3	3	2	3	2	1	0	0	0	0	1	2	4	1	1	1	2	1	2	2	2	0	0	1	1	2	2	2	0	1	0	0	1	0	0	0	0	2	3	2	4	4	6	5	3	5	9	5	12	4	3	1	2	3	2	8	4	5	4	3	6	2	2	5	2	3	3	2	1	1	3	2	2	0	2	4	0	2	0	3	2	4	1	3	4	1	1	-1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	2	5	3	6	5	4	3	4	3	4	5	3	5	0	1	1	-1	0	1	0	0	1	3	3	7	3	3	3	4	2	7	5	3	3	4	3	7	5	4	6	2	2	4	3	3	5	2	1	3	1	2	2	-2	1	0	-3	0	-2	-1	0	-2	1	1	2	2	2	3	3	4	5	3	3	5	3	3	5	3	4	8	2	3	1	1	1	1	2	2	0	4	3	7	0	3	4	0	2	1	0	1	1	2	2	2	0	0	-1	-2	0	-2	-2	1	0	0	0	-1	1	2	0	3	2	3	4	4	4	1	1	3	4	1	4	0	1	1	0	1	0	3	2	3	6	3	6	4	3	5	3	3	5	3	4	5	2	2	5	5	4	7	4	2	3
15	0	3	2	2	1	4	3	2	3	2	3	3	0	0	1	1	2	1	1	5	4	1	2	1	2	2	2	3	3	1	0	3	3	3	4	6	0	1	1	1	2	2	1	2	3	1	3	3	1	3	1	1	1	1	-1	2	0	1	2	3	2	4	8	1	3	2	4	2	6	4	3	7	3	2	8	0	1	3	0	3	4	2	4	3	3	3	3	2	3	3	0	3	2	1	3	2	2	3	5	2	4	6	0	2	2	1	3	3	-1	2	2	1	3	5	0	3	0	1	2	2	3	3	3	3	3	5	4	4	6	5	4	6	3	2	7	2	2	0	0	3	0	0	2	0	3	3	4	2	3	6	1	2	2	3	4	5	2	2	2	4	4	6	5	3	6	6	4	7	2	3	5	4	4	6	1	4	5	1	2	5	-1	2	2	0	1	-1	-1	1	0	0	1	0	1	4	4	1	3	4	-1	1	0	2	2	3	2	3	4	0	2	5	2	2	5	1	3	1	-1	1	0	3	3	3	1	3	5	3	4	3	2	4	7	3	3	7	2	2	2	2	3	3	3	3	4	5	4	5	4	3	3	1	1	1	0	2	3	6	5	9	1	1	1	2	2	5	-1	1	1	0	2	3	2	2	2	5	3	5	0	2	2	4	3	7	5	4	6	1	2	5	3	5	8	3	3	3	3	3	4	0	2	4	0	1	1	1	3	1	1	3	3	1	1	1	3	3	7	2	2	3	2	2	4	0	0	0	0	1	2	0	2	0	0	1	4	3	2	5	1	2	4	0	0	0	0	2	2	1	3	0	2	2	2	1	4	5	5	3	8	1	2	3
16	-2	0	1	1	2	3	0	0	2	0	1	2	0	1	5	2	0	1	0	0	0	1	0	0	0	0	0	0	1	5	0	1	2	-1	0	-1	1	0	3	0	0	2	0	0	0	0	-1	2	0	0	6	1	1	2	-1	0	2	0	0	3	-1	0	-1	-2	0	0	-2	-1	-1	1	2	2	0	1	2	-2	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	2	1	0	1	0	0	1	-1	0	-1	0	0	-1	1	0	2	-1	0	0	1	1	3	0	0	3	1	1	3	0	1	3	-1	0	0	-2	-1	-1	-2	0	-2	-3	0	0	1	0	3	0	1	2	2	0	3	2	0	0	2	1	3	-2	1	2	-4	-1	-1	-1	0	-3	1	0	0	-1	-1	0	0	0	0	-2	0	0	0	-1	-2	-2	0	0	-3	-2	-5	-3	0	0	0	0	-1	2	2	5	3	1	6	3	2	5	1	1	4	1	0	1	0	0	0	-1	1	-2	-1	0	0	2	1	3	0	1	2	0	1	3	1	0	2	-3	0	-1	-6	-1	-6	-5	-2	-6	-1	0	0	-4	-1	-4	-2	0	0	0	0	-1	-2	-1	-1	-2	0	0	0	1	3	1	0	5	0	1	0	-2	0	0	0	0	2	1	0	3	0	1	0	-1	0	0	-2	1	0	0	0	0	0	0	0	-2	1	3	1	0	2	-1	0	-2	0	1	1	0	0	0	0	0	-2	-2	0	0	-1	1	2	-1	0	3	-1	0	0	-3	0	-2	-1	0	0	1	0	2	-2	0	0	0	-1	-2	-2	0	-1	-1	-2	0	-1	0	1	-1	0	-1	0	0	0	-6	-1	-5	-2	0	-2	-3	-1	-2	0	1	2	1	0	2	-2	0	-1
17	1	3	2	0	1	-1	0	2	0	2	1	0	0	3	3	2	2	2	1	2	6	0	1	0	1	3	2	-1	2	0	1	1	4	0	0	1	1	3	3	-3	0	-3	1	2	1	-2	1	0	2	2	6	0	2	4	3	2	2	2	1	1	1	1	3	0	1	2	-1	0	0	0	0	0	0	1	4	0	1	0	0	0	1	1	2	1	4	3	5	2	1	0	3	1	3	3	4	5	2	2	3	0	1	2	0	2	2	4	2	4	0	2	4	3	2	1	0	1	4	-1	1	0	0	1	0	-1	0	-3	0	2	1	0	0	1	2	1	0	0	1	5	1	0	3	0	1	0	0	2	1	1	0	1	2	1	2	1	1	0	0	1	-1	1	1	0	3	1	0	-3	0	0	0	1	-1	0	0	0	-3	-1	-5	0	0	-1	0	0	0	0	1	0	1	1	1	-3	0	0	-1	0	1	2	1	2	4	3	4	3	2	0	-1	1	0	0	2	3	0	1	2	1	2	3	0	1	0	0	0	2	2	4	3	4	2	3	3	3	4	1	1	0	1	0	0	0	2	0	4	1	3	-2	1	0	1	2	5	1	2	3	0	2	1	0	1	0	0	0	0	-1	0	0	2	2	4	2	3	2	0	0	0	3	2	4	0	0	-1	-1	0	0	-1	0	0	0	1	2	0	0	0	-2	0	0	1	2	0	0	0	0	0	0	1	1	2	6	2	2	6	4	1	2	2	1	1	-1	0	0	2	2	3	2	3	3	3	3	5	2	1	2	0	1	0	1	2	1	2	2	6	3	2	3	1	2	5	1	1	0	1	1	-1	2	2	2	1	2	2	2	2	0
18	5	5	6	5	5	6	4	3	4	6	5	8	4	5	9	3	5	5	4	5	3	4	4	1	6	4	5	4	5	4	3	4	4	6	6	10	4	6	5	5	6	8	4	2	3	3	4	4	2	5	5	4	4	6	7	6	9	5	5	8	4	4	4	4	4	6	3	5	6	4	5	6	5	5	3	7	7	10	7	5	8	5	5	9	4	3	3	2	4	4	5	4	6	4	4	5	4	4	2	2	4	5	4	3	2	0	4	4	7	5	6	4	6	5	6	5	3	4	5	4	4	5	5	7	6	10	8	6	9	7	7	7	8	6	6	4	5	6	0	3	1	6	5	7	4	6	6	5	6	8	5	4	5	5	5	6	5	6	7	6	5	8	5	4	6	8	7	10	3	5	7	5	4	4	2	3	2	1	4	3	4	4	6	1	4	0	2	3	6	3	3	2	2	4	0	3	4	1	2	3	4	6	3	7	5	4	8	2	3	2	5	4	7	2	4	6	5	7	8	3	6	6	5	6	7	0	3	1	2	3	0	6	6	7	1	5	5	3	4	3	1	4	1	2	7	5	4	5	5	6	7	8	3	4	2	5	5	8	6	5	8	7	6	9	4	4	6	5	6	7	7	6	10	7	6	10	7	5	8	6	6	9	6	6	5	4	4	7	5	6	7	5	5	5	4	5	3	4	4	3	4	5	6	4	6	7	6	4	6	4	5	7	6	5	9	3	5	5	4	6	5	4	5	6	3	4	7	8	7	9	6	5	9	7	6	6	4	5	7	3	5	7	5	5	6	3	4	4	2	4	0	4	4	3	2	4	5	4	4	5
19	0	1	3	0	0	0	2	0	3	0	1	3	1	1	2	1	2	1	0	1	6	3	3	5	3	4	5	0	1	1	3	0	6	0	2	0	-1	1	0	1	0	2	-2	1	3	-1	0	1	-1	1	0	-3	0	0	0	3	2	3	1	3	1	1	2	0	0	2	-1	0	-2	0	1	2	1	0	1	1	1	2	-1	1	0	0	0	2	1	2	1	1	3	5	4	3	4	1	2	4	0	1	5	2	2	4	0	2	-1	1	3	5	0	0	1	0	0	1	0	0	1	0	0	3	1	1	1	-1	0	0	0	0	1	2	1	2	0	1	2	1	2	5	1	4	5	-1	2	2	-1	0	0	0	1	1	2	2	3	1	0	1	0	2	1	1	2	2	2	2	3	6	3	6	2	2	3	-1	1	0	-1	0	0	-1	0	-1	1	3	1	0	0	1	0	2	3	0	1	2	0	1	3	3	2	8	3	1	4	0	1	3	2	1	3	0	1	3	3	2	2	0	0	0	0	0	3	0	2	1	4	2	3	4	2	7	2	2	3	0	1	0	0	2	1	-3	0	0	-3	0	0	-2	0	2	2	2	5	0	1	0	-2	1	-1	0	0	0	0	2	2	2	2	1	1	1	2	0	1	3	1	2	2	2	2	5	1	1	2	3	1	3	2	1	2	2	3	4	4	2	6	0	1	2	1	3	5	-1	1	0	1	0	0	-3	0	-2	-4	-1	-5	-5	0	-3	0	1	1	0	1	3	0	1	1	-1	0	-1	-2	0	-1	0	1	3	1	2	4	2	1	3	1	2	5	-1	1	1	-1	0	0	1	4	4	1	1	3	0	2	2	0	1	1	-1	1	2
20	2	2	4	4	2	3	3	2	4	2	1	4	3	2	4	1	1	2	0	2	0	0	0	0	2	3	6	4	1	0	1	2	1	2	2	4	-1	0	-1	4	2	3	3	3	7	4	2	4	3	4	3	3	4	4	4	4	4	4	3	6	5	4	8	2	3	6	3	4	7	4	2	4	3	3	6	4	3	5	2	3	6	3	3	5	3	2	4	0	1	1	2	2	3	3	2	3	5	3	5	2	0	4	4	2	5	5	4	8	7	4	7	2	1	0	0	2	0	3	3	3	3	2	3	2	2	2	2	1	3	0	0	0	0	0	1	1	2	1	3	2	3	3	2	4	3	1	4	3	1	6	4	2	3	0	2	1	5	3	5	3	3	4	2	2	5	6	3	11	3	3	6	4	3	4	4	2	4	4	4	4	3	2	4	5	3	5	4	1	3	4	2	5	3	3	4	3	3	6	3	2	6	1	2	5	1	3	0	2	3	4	2	1	4	2	2	3	0	0	0	3	2	0	2	1	4	0	1	1	0	1	1	1	1	3	3	2	2	0	1	0	3	2	7	3	3	5	5	3	5	4	2	5	0	3	3	4	3	2	3	4	8	3	1	5	0	2	4	5	4	9	2	1	4	2	1	5	1	2	3	1	2	2	3	4	5	3	3	3	5	3	4	1	2	2	1	1	1	1	1	1	2	3	2	2	2	2	5	3	5	3	3	4	0	1	2	2	3	3	1	0	3	0	2	0	-1	0	-3	1	2	0	2	1	2	1	1	1	-1	0	0	2	2	3	1	2	1	2	2	3	4	2	6	2	2	4	3	3	5	3	3	3
21	4	4	2	4	4	3	5	5	7	6	5	7	2	3	1	6	4	6	5	5	7	4	4	4	3	4	5	6	5	8	4	4	6	2	2	1	4	3	5	2	3	4	7	4	4	3	3	5	3	5	6	3	5	3	0	3	2	6	4	4	5	3	6	1	2	2	1	1	1	3	3	4	4	3	6	4	5	6	7	4	8	6	4	7	6	5	7	6	4	8	5	4	8	6	5	5	5	3	4	4	4	7	10	7	12	8	4	7	4	3	4	4	5	5	2	2	4	2	3	4	2	2	3	3	2	2	-1	1	0	3	3	5	6	3	5	2	3	2	3	2	0	1	2	1	2	3	3	3	3	2	2	2	0	0	1	-1	0	2	0	4	4	4	7	4	4	2	2	4	4	3	2	4	4	2	4	2	1	3	1	2	4	2	1	2	3	2	5	3	3	3	2	3	0	2	0	6	5	6	3	4	4	3	3	0	1	4	0	3	3	1	3	3	5	2	3	5	3	4	6	9	5	12	5	4	6	4	4	7	4	5	4	5	3	3	2	3	6	4	3	1	5	3	3	-3	2	-1	2	2	2	5	4	2	2	2	3	5	3	4	7	5	7	6	5	4	3	3	4	3	3	1	1	4	4	4	3	6	4	5	6	5	6	7	4	4	3	2	3	4	2	5	1	0	2	1	3	3	4	3	3	3	1	2	2	2	3	3	4	3	4	4	3	4	3	3	4	4	3	5	1	4	1	3	4	2	6	3	3	3	3	8	5	3	3	2	2	1	2	2	2	5	3	5	6	4	7	4	2	3	4	2	3	2	4	1	4	3	4	4	4	6
22	1	2	0	1	2	5	4	4	8	3	3	5	2	2	5	2	2	1	0	1	2	0	0	2	4	2	4	1	2	5	0	3	5	1	2	3	0	3	2	4	5	6	6	3	8	4	3	4	5	6	8	8	4	9	3	4	7	7	4	8	6	5	10	4	3	6	4	3	6	3	2	5	0	3	0	1	2	2	1	2	3	-1	0	-1	-1	2	0	-1	2	0	0	2	3	1	1	0	0	1	1	1	2	3	4	3	2	0	1	-1	1	2	4	1	2	0	1	2	2	1	2	2	0	1	1	4	3	4	0	3	3	2	4	4	0	2	5	3	3	3	0	2	0	4	3	3	1	2	2	2	2	1	1	2	3	2	1	0	0	2	1	3	2	5	4	3	5	-1	1	0	1	1	4	2	2	4	3	3	4	0	3	2	0	1	1	0	4	2	2	3	7	3	3	3	0	1	1	1	3	0	0	2	4	0	2	0	-1	0	-1	0	1	2	0	1	0	2	2	5	0	2	1	1	2	2	2	2	2	1	2	4	3	4	5	4	3	5	-1	1	0	1	2	3	1	3	3	1	2	1	3	4	4	2	2	2	4	3	7	0	3	0	4	3	5	3	2	2	0	3	1	3	2	4	0	2	3	1	1	4	2	3	5	3	2	2	1	3	2	0	2	0	3	2	2	5	3	8	2	2	1	2	1	1	0	0	-1	-1	1	-2	2	3	1	0	1	0	2	3	5	4	4	7	3	3	7	3	2	3	6	3	4	3	3	7	5	2	7	2	1	3	0	3	0	5	4	3	2	4	5	1	1	3	0	2	3	2	3	3	1	3	4	1	1	0
23	2	3	5	6	4	8	3	2	4	7	4	9	3	3	4	4	3	5	3	4	6	2	1	5	1	2	5	3	2	4	5	3	7	6	5	8	6	5	9	4	2	7	6	5	10	6	5	8	4	4	7	7	4	7	3	3	4	3	3	5	4	4	7	3	4	8	5	4	6	2	2	5	2	3	5	3	2	6	3	3	5	3	4	6	5	3	5	5	4	7	4	3	4	0	2	1	2	3	3	3	2	2	4	2	5	3	4	6	3	3	3	3	2	5	3	2	3	0	1	2	2	0	1	3	3	3	6	4	8	3	3	6	4	2	6	2	3	7	4	4	2	4	4	5	3	4	6	2	2	1	3	2	4	1	2	5	5	2	6	2	2	5	2	1	3	3	3	4	3	4	5	2	3	5	1	3	4	6	4	5	4	4	4	3	3	5	1	1	2	3	2	4	4	2	3	2	3	3	5	4	8	4	3	9	2	2	3	1	3	1	2	4	5	6	3	3	5	5	7	5	3	8	6	6	10	4	4	7	2	4	5	4	5	5	7	4	11	7	5	10	5	5	9	3	5	9	0	3	5	1	3	1	2	2	4	3	3	4	0	2	3	6	3	7	3	4	9	3	4	7	5	2	9	7	5	11	7	4	8	7	5	9	7	4	9	2	4	4	2	2	3	2	3	6	1	2	2	0	0	1	2	2	3	1	2	2	0	0	1	3	2	6	5	3	7	6	5	8	3	2	4	4	1	4	1	0	4	4	4	7	4	3	5	3	3	7	2	4	5	3	2	3	1	2	4	3	4	3	5	5	10	4	4	5	1	1	4	3	3	4
24	1	1	5	3	3	3	2	3	6	4	3	6	5	6	8	3	0	1	1	1	1	1	1	2	0	1	1	0	3	2	6	4	10	4	5	7	2	3	2	4	3	7	6	3	7	4	3	9	4	4	8	3	2	4	4	4	5	4	2	4	4	3	7	4	2	3	4	4	6	1	3	2	1	2	4	3	2	8	2	2	6	4	3	8	5	3	4	3	4	5	3	4	5	0	3	2	0	1	2	3	3	5	1	2	5	2	1	6	3	4	4	0	2	4	-2	0	-2	0	1	-1	0	1	1	0	1	0	3	3	5	0	3	4	0	2	1	4	5	8	1	1	4	0	3	3	2	3	0	2	1	2	0	1	1	3	2	1	2	1	0	2	2	4	0	2	2	1	1	3	-1	1	3	2	1	3	1	2	3	3	1	0	0	1	2	0	3	4	5	4	7	1	4	4	1	1	3	4	3	5	3	4	7	4	4	4	0	2	2	0	1	0	3	3	5	3	3	4	2	4	5	5	4	5	2	2	3	2	2	3	3	3	4	2	2	3	1	1	1	0	1	1	1	4	2	0	1	1	2	2	4	0	2	3	0	0	1	0	2	2	0	0	-1	0	2	0	-2	1	0	1	3	1	2	2	4	1	2	2	3	3	5	5	3	7	5	3	6	4	4	9	3	2	1	6	3	7	4	3	4	4	3	4	3	3	6	5	4	6	1	3	2	3	3	3	0	2	1	2	4	5	3	3	4	6	4	8	3	3	6	4	3	8	2	1	0	4	3	4	2	3	5	5	2	6	3	2	2	4	2	5	4	3	5	1	1	2	2	3	3	5	4	9
25	5	3	2	2	3	2	1	2	-2	-2	1	-1	0	2	0	1	3	1	3	4	1	3	3	2	2	4	4	2	2	0	0	2	-1	1	2	2	5	4	5	3	3	5	4	3	5	5	5	5	7	6	6	6	5	3	6	5	9	3	4	5	0	1	-3	2	3	4	5	4	5	3	3	3	3	4	3	6	4	7	1	2	2	3	3	0	3	3	1	0	2	1	1	3	3	4	4	3	0	3	3	3	4	4	4	4	3	2	3	3	3	4	7	4	5	7	2	3	1	3	3	4	3	3	4	2	3	1	2	4	6	1	2	4	0	3	0	3	3	3	5	4	5	5	4	7	3	4	3	4	3	3	6	3	8	4	5	6	6	6	10	5	4	6	3	4	4	4	4	6	5	4	3	3	3	4	5	5	5	4	4	5	3	4	1	5	4	4	4	4	5	4	4	4	4	3	5	3	4	4	4	4	4	4	4	1	1	2	3	1	3	1	0	2	0	1	1	3	1	3	0	1	3	1	4	3	3	2	3	1	1	4	0	1	2	1	0	1	1	2	1	1	3	3	5	3	4	4	5	4	6	3	5	5	1	2	2	0	3	2	1	3	1	-1	3	0	1	2	2	3	4	0	-1	3	1	3	4	5	3	4	2	4	3	1	3	5	5	3	2	3	3	4	1	6	4	4	2	5	3	1	2	1	1	3	2	6	5	5	5	2	3	3	4	3	2	2	3	0	2	0	3	3	2	3	3	4	2	3	5	2	3	2	2	4	5	2	2	3	2	3	4	2	3	3	2	3	5	3	4	4	4	5	6	4	4	5	4	4	7	5	5	7
26	4	5	5	4	5	4	4	4	3	3	4	5	0	1	0	6	3	5	9	5	10	7	3	7	0	4	5	3	4	4	6	6	7	5	5	7	6	5	6	3	5	9	3	4	6	4	4	6	6	4	4	4	4	3	1	3	2	3	2	3	2	3	2	5	5	6	4	4	6	2	2	2	5	5	7	0	2	3	3	2	2	1	3	3	8	5	8	3	3	4	3	3	0	6	4	5	7	5	8	7	4	7	6	5	7	9	7	8	7	4	8	1	4	4	1	5	0	5	3	4	4	5	5	1	2	1	2	3	4	4	4	4	5	4	6	5	5	7	4	3	5	6	6	7	7	7	7	5	5	7	5	4	5	1	2	4	4	3	1	5	5	4	4	6	6	4	3	6	5	4	3	5	5	6	5	4	6	5	5	7	5	4	6	2	4	2	4	4	7	6	4	6	7	5	11	4	4	3	3	4	4	5	4	7	3	3	6	5	4	2	3	4	2	2	3	1	6	5	4	4	5	5	3	3	5	3	4	5	4	5	6	3	4	8	4	5	7	5	4	8	4	5	4	7	5	6	5	3	6	4	3	4	4	4	5	6	4	6	7	3	5	4	3	5	4	3	4	1	3	0	5	4	5	3	4	4	0	3	0	4	4	3	4	3	3	7	5	6	7	5	10	6	3	7	4	4	5	2	3	3	4	4	3	4	5	8	8	6	11	9	6	10	6	5	9	4	5	7	7	5	9	6	6	8	5	5	4	4	4	5	3	3	7	5	4	4	1	1	1	0	2	0	3	2	0	2	3	5	2	2	3	3	3	3	5	3	4	4	5	6
27	5	2	3	2	0	2	2	1	3	0	0	2	2	1	0	1	1	2	6	3	7	5	3	4	0	0	0	1	1	0	2	1	0	-1	1	0	1	2	1	1	1	2	3	2	3	4	0	3	2	2	1	1	0	0	2	1	2	2	1	1	3	1	2	2	2	2	1	3	2	2	2	0	0	0	1	0	0	2	3	0	2	1	0	0	1	1	-1	0	0	4	1	1	3	2	0	-1	0	2	2	4	1	5	2	1	3	1	0	0	0	0	1	0	0	-1	0	0	0	0	2	2	1	0	3	4	2	4	3	2	3	4	2	2	0	0	0	4	1	4	3	2	5	1	0	2	1	1	-1	0	0	1	3	1	2	2	2	1	2	0	0	1	0	0	-2	-1	-3	0	1	0	3	2	2	0	0	2	2	0	0	1	0	-2	3	1	4	2	1	0	0	0	0	3	2	5	1	2	1	1	0	0	3	0	3	0	0	0	0	1	-2	0	0	0	0	0	-1	1	1	2	0	0	0	0	0	0	3	1	5	4	1	4	2	3	6	2	1	1	2	1	0	1	0	2	2	2	5	1	0	2	2	1	2	0	0	0	1	1	2	0	0	0	1	0	-1	0	0	0	-2	0	-3	-1	0	1	0	0	-2	-2	-1	-1	2	1	1	0	1	1	4	1	3	1	1	3	2	1	2	2	1	0	0	1	1	1	0	0	2	1	1	1	0	0	2	0	3	2	1	1	-1	1	0	2	2	3	2	2	1	0	0	0	2	1	2	5	2	4	3	0	1	0	0	-2	5	2	4	2	0	3	1	1	0	1	0	-1	3	1	0	0	0	-1	2	0	3	3	2	4
28	0	0	2	0	1	2	0	1	0	-2	0	-2	0	0	-1	-2	0	-3	0	1	2	1	1	2	0	2	2	0	1	0	3	3	4	5	1	4	1	1	0	1	1	0	0	0	1	0	1	0	1	3	2	2	2	2	0	1	0	1	1	0	-2	-1	-2	1	0	3	0	2	1	1	1	1	0	1	3	0	1	1	0	3	1	0	1	0	0	0	3	0	0	0	0	0	0	-1	1	0	0	2	4	-1	0	0	-1	0	-2	0	0	0	2	1	1	3	2	1	0	1	-1	0	0	-1	1	1	2	-1	0	-1	0	2	3	3	3	5	2	1	1	2	0	1	3	2	1	1	1	1	0	2	-1	4	3	3	1	2	2	5	3	5	0	1	0	0	1	2	2	3	2	1	2	5	2	3	5	4	2	4	2	2	2	0	2	3	1	1	0	0	1	1	0	1	0	0	0	0	0	2	1	1	1	3	4	3	5	5	3	4	3	3	3	1	1	0	-2	0	-2	3	4	6	4	3	8	2	3	2	0	2	0	4	1	5	4	2	4	0	2	1	1	0	0	0	1	0	-1	0	0	-1	0	0	0	0	0	3	3	4	2	2	3	0	1	0	2	1	1	1	1	0	0	1	1	1	2	2	4	2	3	4	1	7	0	2	5	2	3	4	1	0	2	1	1	0	1	2	1	4	2	2	5	3	7	5	4	7	2	1	3	4	2	4	1	1	0	1	2	2	0	1	1	2	0	2	0	0	-1	3	3	2	3	2	3	0	3	4	3	2	4	0	0	0	0	1	2	-2	0	0	1	1	0	0	2	0	1	1	0	1	1	1	3	1	1	5	4	6
